user_id,movie_title,rating,genres,movie_id
user_001,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_005,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_007,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_015,Toy Story (1995),2.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_017,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_018,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_019,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_021,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_027,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_031,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_032,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_033,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_040,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_043,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_044,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_045,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_046,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_050,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_054,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_057,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_063,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_064,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_066,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_068,Toy Story (1995),2.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_071,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_073,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_076,Toy Story (1995),0.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_078,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_082,Toy Story (1995),2.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_086,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_089,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_090,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_091,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_093,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_096,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_098,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_103,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_107,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_112,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_119,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_121,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_124,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_130,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_132,Toy Story (1995),2.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_134,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_135,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_137,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_140,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_141,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_144,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_145,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_151,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_153,Toy Story (1995),2.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_155,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_156,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_159,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_160,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_161,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_166,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_167,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_169,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_171,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_177,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_178,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_179,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_182,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_185,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_186,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_191,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_193,Toy Story (1995),2.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_200,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_201,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_202,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_206,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_213,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_214,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_216,Toy Story (1995),3.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_217,Toy Story (1995),4.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_219,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy,45
user_220,Toy Story (1995),5.0,Adventure|Animation|Children|Comedy|Fantasy,45
user_223,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy,45
